x,y,z,Yw(m)
7.5,5.5,0,5.52268
7.5,6.5,0,6.5192
7.5,7.5,0,7.51665
7.5,8.5,0,7.51665
7.5,9.5,0,7.51665
7.5,10.5,0,7.51665
7.5,11.5,0,7.51665
7.5,12.5,0,7.51665
7.5,13.5,0,7.51665
7.5,14.5,0,7.51665
7.5,15.5,0,7.51665
7.5,16.5,0,7.51665
7.5,17.5,0,7.51665
7.5,18.5,0,7.51665
7.5,19.5,0,7.51665
7.5,20.5,0,7.51665
7.5,21.5,0,7.51665
7.5,22.5,0,7.51665
7.5,23.5,0,7.51665
7.5,24.5,0,7.51665
7.5,25.5,0,7.51665
7.5,26.5,0,7.51665
7.5,27.5,0,7.51665
7.5,28.5,0,7.51665
7.5,29.5,0,7.51665
7.5,30.5,0,7.51665
7.5,31.5,0,7.51665
7.5,32.5,0,7.51665
7.5,33.5,0,7.51665
7.5,34.5,0,7.51665
7.5,35.5,0,7.51665
7.5,36.5,0,7.51665
7.5,37.5,0,7.51665
7.5,38.5,0,7.51665
7.5,39.5,0,7.51665
7.5,40.5,0,7.51665
7.5,41.5,0,7.51665
7.5,42.5,0,6.5192
7.5,43.5,0,5.52268
7.5,44.5,0,4.52769
7.5,45.5,0,3.53553
7.5,46.5,0,2.54951
7.5,47.5,0,1.58114
7.5,48.5,0,9.82499e-310
8.5,0.5,0,7.37319e-313
8.5,1.5,0,1.58114
8.5,2.5,0,2.54951
8.5,3.5,0,3.53553
8.5,4.5,0,4.52769
8.5,5.5,0,5.52268
8.5,6.5,0,6.5192
8.5,7.5,0,7.51665
8.5,8.5,0,8.51469
8.5,9.5,0,8.51469
8.5,10.5,0,8.51469
8.5,11.5,0,8.51469
8.5,12.5,0,8.51469
8.5,13.5,0,8.51469
8.5,14.5,0,8.51469
8.5,15.5,0,8.51469
8.5,16.5,0,8.51469
8.5,17.5,0,8.51469
8.5,18.5,0,8.51469
8.5,19.5,0,8.51469
8.5,20.5,0,8.51469
8.5,21.5,0,8.51469
8.5,22.5,0,8.51469
8.5,23.5,0,8.51469
8.5,24.5,0,8.51469
8.5,25.5,0,8.51469
8.5,26.5,0,8.51469
8.5,27.5,0,8.51469
8.5,28.5,0,8.51469
8.5,29.5,0,8.51469
8.5,30.5,0,8.51469
8.5,31.5,0,8.51469
